Acta Physica Polonica-Series A General Physics;Acta Phys. Pol.-Ser. Gen. Phys.
Annals of Physics (Amsterdam, Netherlands);Ann. Phys. (Amsterdam, Neth.)
Astronomical Journal;Astron. J.
Astrophysical Journal, Letters to the Editor;Astrophys. J. Lett.
Astrophysical Journal, Supplement Series;Astrophys. J. Suppl. Ser.
Astrophysical Journal;Astrophys. J.
Astrophysics and Space Science;Astrophy. Space Sci.
Beiträge Zur Physik der Atmosphäre;Beitr. Zur Phys. Atmosphäre
Comptes Rendus Hebdomadaires des Séances de l'Académie des Sciences, Serie B: Sciences Physiques;C. R. Acad. Sci. Ser. B
Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences, Serie A: Sciences Mathématiques;C. R. Acad. Sci. Ser. A
Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences;C. R. Acad. Sci.
Comptes Rendus de l'Académie des Sciences - Series I - Mathematics;C. R. Acad. Sci. Paris, Ser. I
Comptes Rendus de l'Académie des Sciences - Series I - Mathematics;Comptes Rendus Académie Sci. - Ser. - Math.
Comptes Rendus Physique;C. R. Physique
Comptes Rendus Physique;Comptes Rendus Phys.
Czechoslovak Journal of Physics;Czechoslov. J. Phys.
European Physics Journal B: Condensed Matter;Eur. Phys. J. B
European Physics Journal C: Particles and Fields;Eur. Phys. J. C
European Physics Journal D: Atomic, Molecular, and Optical Physics;Eur. Phys. J. D
European Physics Journal E: Soft Matter;Eur. Phys. J. E
European Physical Journal Applied Physics;Eur. Phys. J. Appl. Phys.
European Physical Journal B: Condensed Matter and Complex Systems;Eur. Phys. J. B-Condens. Matter Complex Syst.
General Relativity and Gravitation;Gen. Relativ. Gravitation
Helvetica Physica Acta;Helvetica Phys. Acta
IEEE Journal of Selected Topics in Quantum Electronics;IEEE J. of Sel. Top. Quantum Electron.
IEEE Transactions on Microwave Theory and Techniques;IEEE Trans. Microwave Theory Tech.
Journal de Physique IV;J. Phys. IV Fr.
Journal of Chemical Physics;J. Chem. Phys.
Journal of Electronic Materials;J. Electronic Mater.
Journal of Physics A: Mathematical and General;J. Phys. A
Journal of Physics A: Mathematical and Theoretical;J. Phys. Math. Theor.
Journal of Physics B: Atomic, Molecular and Optical;J. Phys. B
Journal of Physics C: Solid State Physics;J. Phys. C
Journal of Physics C: Solid State Physics;J. Phys. C Solid State Phys.
Journal of Physics D: Applied Physics;J. Phys. Appl. Phys.
Journal of Physics G: Nuclear and Particle Physics;J. Phys. G
Journal of Physics: Condensed Matter;J. Phys. Condens. Matter
Journal of Physics: Conference series;J. Phys. Conf. Series
Journal of Quantitative Spectroscopy & Radiative Transfer;J. Quant. Spectrosc. Radiat. Transfer
Journal of Statistical Mechanics: Theory and Experiment;J. Stat. Mech.
Journal of Vacuum Science and Technology B: Microelectronics and Nanometer Structures;J. Vac. Sci. Technol., B
Kongelige Danske Videnskabernes Selskab, Matematisk-Fysiske Meddelelser;K. Dan. Vidensk. Selsk. Mat. Fys. Medd.
Materials Research Society Symposium Proceedings;Mat. Res. Soc. Symp. Proc.
Nano Futures;Nano Futures
Phase Transitions;Phase Transitions
Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences;Philos. Trans. R. Soc. Math. Phys. Eng. Sci.
Philosophical Transactions of the Royal Society of London. Series A. Mathematical, Physical and Engineering Sciences;Philos. Trans. R. Soc. Lond. Ser. A Math. Phys. Eng. Sci.
Philosophical Transactions of the Royal Society of London, Series A: Mathematical and Physical Sciences;Philos. Trans. R. Soc. London, Ser. A
Philosophical Transactions of the Royal Society of London, Series B;Philos. Trans. R. Soc. London, Ser. B
Philosophical Transactions of the Royal Society of London. Series A. Mathematical, Physical and Engineering Sciences;Philos. Trans. R. Soc. Lond. Ser. A Math. Phys. Eng. Sci.
Philosophical Transactions of the Royal Society of London;Philos. Trans. R. Soc. London
Physica B;Physica B
Physica B: Condensed Matter;Phys. B Condens. Matter
Physica C: Superconductivity and its Applications;Phys. C Supercond. Its Appl.
Physica D: Nonlinear Phenomena;Phys. D Nonlinear Phenom.
Physica E: Low-dimensional Systems and Nanostructures;Phys. E: Low-Dimens. Syst. Nanostructures
Physica D: Nonlinear Phenomena;Phys. Nonlinear Phenom.
Physica D: Nonlinear Phenomena;Physica D
Physica E-low-dimensional Systems & Nanostructures;Physica E
Physica Scripta, T.;Phys. Scr. T.
Physica Status Solidi (RRL) – Rapid Research Letters;Phys. Status Solidi RRL
Physica Status Solidi A: Applications and Materials Science;Phys. Status Solidi Appl. Mater. Sci.
Physica Status Solidi A;Phys. Status Solidi A
Physica Status Solidi B;Phys. Status Solidi B
Physica Status Solidi C;Phys. Status Solidi C
Physical Chemistry Chemical Physics;Phys. Chem. Chem. Phys. PCCP
Physical Review Applied;Phys. Rev. Applied
Physical Review A: Atomic, Molecular, and Optical Physics;Phys. Rev. A
Physical Review B: Condensed Matter;Phys. Rev. B Condens. Matter
