2D Materials;2D Mater.
3 Biotech;3 Biotech
3C Empresa;3C EMPRESA
3c Tecnologia;3c Tecnol.
3C Tic;3C Tic
3D Printing and Additive Manufacturing;3D Print. Addit. Manuf.
3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies;3L-Lang. Ling. Lit.
452 F-Revista de Teoria de la Literatura y Literatura Comparada;452 F-Rev. Teor. Lit. Llit. Comp.
4OR-A Quarterly Journal of Operations Research;4OR-Q. J. Oper. Res.
A & A Practice;A A Pract.
A + U-ARCHITECTURE AND URBANISM;A  U-Archit. Urban.
A&C-Revista de Direito Administrativo & Constitucional;A C-Rev. Direito Adm. Const.
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK;AAA-Arb. Angl. Am.
AACN Advanced Critical Care;AACN Adv. Crit. Care
AAPG BULLETIN;AAPG Bull.
AAPS Journal;AAPS J.
AAPS PHARMSCITECH;AAPS PharmSciTech
AATCC Journal of Research;AATCC J. Res.
AATCC REVIEW;AATCC Rev.
Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space;Ab Imp.
Abacus-A Journal of Accounting Finance and Business Studies;Abacus
Abakos;Abakos
Abanico Veterinario;Abanico Vet.
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery;ABCD-Arq. Bras. Cir. Dig.-Braz. Arch. Dig. Surg.
Abdominal Radiology;Abdom. Radiol.
ABE Journal;ABE J.
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG;Abh. Math. Semin. Univ. Hamburg
Aboriginal History;Aborig. Hist.
Aboriginal Policy Studies;Aborig. Policy Stud.
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal;Abriu-Estud. Textual. Bras. Gali.
Academia y Virtualidad;Acad. Virtualidad
Academia-Revista Latinoamericana de Administracion;Acad.-Rev. Latinoam. Adm.
ACADEMIC EMERGENCY MEDICINE;Acad. Emerg. Med.
ACADEMIC MEDICINE;Acad. Med.
Academic Pathology;Acad. Pathol.
Academic Pediatrics;Acad. Pediatr.
ACADEMIC PSYCHIATRY;Acad. Psych.
ACADEMIC RADIOLOGY;Acad. Radiol.
Academy of Management Annals;Acad. Manag. Ann.
Academy of Management Discoveries;Acad. Manag. Discov.
ACADEMY OF MANAGEMENT JOURNAL;Acad. Manage. J.
Academy of Management Learning & Education;Acad. Manag. Learn. Educ.
Academy of Management Perspectives;Acad. Manag. Perspect.
ACADEMY OF MANAGEMENT REVIEW;Acad. Manage. Rev.
ACADIENSIS;Acadiensis
